Respondent ID,Response1a,Response1b,Response1c,Response2a,Response2b,Response2c,Response3a,Response3b,Response3c,Response4a,Response4b,Response4c,Response5a,Response5b,Response5c,Response6a,Response6b,Response6c,Response7a,Response7b,Response7c,Score,Classification
12648671897,4,4-6,completely,3,0-3,completely,2,0-3,partially,2,6-9,completely,4,4-6,partially,2,4-6,completely,4,4-6,partially,9,3
12648671869,4,6-9,partially,3,0-3,completely,3,0-3,partially,1,0-3,completely,2,0-3,completely,5,4-6,not at all,2,0-3,completely,9,3
12648671579,2,0-3,partially,3,0-3,partially,4,4-6,completely,3,0-3,partially,4,4-6,partially,3,0-3,partially,4,4-6,partially,8,3
12648671291,5,10 or more,not at all,5,10 or more,not at all,5,10 or more,not at all,5,10 or more,not at all,5,10 or more,not at all,5,10 or more,not at all,5,10 or more,not at all,1,1
12648671258,3,4-6,partially,3,4-6,partially,3,4-6,partially,3,4-6,partially,3,4-6,completely,3,4-6,partially,3,6-9,completely,6,2
12648671156,3,4-6,partially,3,4-6,partially,3,4-6,partially,3,4-6,partially,3,0-3,completely,3,4-6,partially,3,4-6,partially,6,2
12648670529,3,4-6,partially,3,0-3,partially,1,0-3,completely,1,4-6,completely,2,4-6,completely,2,4-6,partially,2,6-9,completely,10,4
12648670474,2,10 or more,not at all,3,4-6,completely,2,6-9,partially,3,6-9,not at all,4,0-3,not at all,1,6-9,not at all,5,4-6,completely,9,3
12648670023,1,6-9,partially,3,6-9,not at all,4,6-9,not at all,4,10 or more,partially,3,4-6,completely,4,10 or more,completely,3,4-6,not at all,7,3
12648669630,3,4-6,not at all,3,4-6,partially,3,4-6,partially,3,6-9,partially,2,4-6,partially,3,4-6,partially,3,4-6,partially,7,3
12648669601,3,4-6,partially,1,6-9,partially,4,4-6,partially,4,6-9,completely,4,4-6,partially,4,0-3,partially,3,4-6,not at all,4,2
12648669430,3,6-9,not at all,2,4-6,not at all,4,6-9,partially,4,6-9,partially,3,6-9,partially,3,6-9,not at all,4,6-9,not at all,2,1
12648668880,2,4-6,partially,2,4-6,partially,3,4-6,partially,2,4-6,partially,3,4-6,partially,2,4-6,partially,2,6-9,partially,5,2
12648668576,4,6-9,not at all,2,6-9,partially,2,6-9,partially,3,6-9,partially,5,10 or more,completely,1,6-9,completely,3,4-6,completely,6,2
12648666425,4,4-6,partially,1,0-3,completely,1,0-3,completely,2,0-3,completely,1,0-3,completely,2,0-3,completely,1,0-3,completely,11,4
12648664999,1,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,13,5
12648657558,3,4-6,not at all,2,0-3,partially,1,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,not at all,1,0-3,partially,10,4
12648641089,3,0-3,partially,3,0-3,completely,2,0-3,completely,2,0-3,completely,2,0-3,completely,2,0-3,completely,3,0-3,completely,8,3
12648598556,3,4-6,partially,3,6-9,not at all,4,4-6,completely,1,6-9,completely,1,6-9,partially,1,0-3,not at all,1,6-9,partially,9,3
12648563316,3,6-9,completely,3,4-6,partially,3,6-9,partially,3,4-6,completely,3,6-9,completely,3,4-6,partially,3,6-9,partially,6,2
12648558089,3,4-6,partially,3,0-3,partially,5,0-3,completely,4,0-3,completely,3,0-3,completely,5,0-3,partially,5,0-3,completely,5,2
12648552589,3,0-3,partially,2,0-3,partially,1,0-3,completely,3,0-3,partially,3,0-3,partially,3,4-6,partially,2,0-3,completely,7,3
12648547261,4,0-3,partially,2,0-3,partially,1,0-3,completely,2,0-3,partially,1,0-3,completely,5,10 or more,not at all,5,0-3,completely,9,3
12648544239,3,0-3,partially,1,0-3,partially,1,0-3,completely,2,0-3,partially,1,0-3,completely,2,0-3,partially,1,0-3,completely,10,4
12648539654,3,0-3,partially,2,0-3,completely,2,0-3,completely,3,0-3,partially,1,0-3,completely,4,0-3,partially,1,0-3,completely,9,3
12648538161,3,4-6,partially,2,0-3,completely,2,0-3,completely,2,0-3,completely,2,0-3,completely,2,0-3,completely,3,0-3,partially,7,3
12648535723,4,0-3,partially,3,0-3,completely,3,0-3,completely,2,0-3,completely,2,0-3,completely,3,0-3,partially,3,0-3,completely,7,3
12648535211,3,0-3,partially,1,0-3,completely,1,0-3,completely,2,0-3,completely,2,0-3,completely,3,4-6,partially,1,0-3,completely,11,4
12648534710,3,0-3,completely,3,0-3,completely,2,0-3,completely,2,0-3,partially,2,0-3,completely,4,0-3,completely,2,0-3,completely,8,3
12648534657,3,0-3,completely,1,0-3,completely,1,0-3,completely,2,0-3,completely,1,0-3,completely,4,0-3,partially,1,0-3,completely,10,4
12648534499,3,0-3,partially,1,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,3,0-3,partially,1,0-3,completely,12,4
12648534455,4,0-3,partially,1,0-3,completely,1,0-3,completely,2,0-3,completely,1,0-3,completely,2,0-3,completely,1,0-3,completely,11,4
12648533570,3,6-9,partially,5,10 or more,completely,1,6-9,partially,5,6-9,completely,5,6-9,completely,4,10 or more,completely,5,6-9,partially,2,1
12648533098,4,0-3,partially,1,0-3,completely,1,0-3,completely,2,0-3,partially,1,0-3,completely,3,0-3,partially,1,0-3,completely,10,4
12648533034,4,0-3,partially,2,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,2,0-3,partially,1,0-3,completely,13,5
12648532765,4,10 or more,partially,2,6-9,completely,2,4-6,completely,4,10 or more,partially,1,0-3,completely,1,0-3,completely,4,6-9,partially,11,4
12648532058,3,0-3,completely,1,0-3,completely,2,0-3,completely,1,0-3,completely,1,0-3,completely,2,0-3,completely,1,0-3,completely,13,5
12648531409,5,0-3,partially,1,0-3,completely,2,0-3,completely,2,0-3,partially,1,0-3,completely,5,4-6,not at all,1,0-3,completely,8,3
12648531187,5,4-6,partially,1,0-3,completely,2,0-3,completely,1,0-3,completely,1,0-3,completely,2,0-3,completely,1,0-3,completely,11,4
12648530568,4,4-6,partially,2,0-3,completely,4,0-3,completely,4,0-3,partially,4,0-3,completely,5,6-9,partially,4,0-3,partially,2,1
12648530078,3,6-9,completely,2,0-3,not at all,1,0-3,completely,1,0-3,completely,1,0-3,completely,5,0-3,completely,1,0-3,completely,8,3
12648530070,4,4-6,partially,1,0-3,completely,2,0-3,completely,4,0-3,not at all,1,0-3,completely,4,10 or more,not at all,1,0-3,completely,9,3
12648529481,3,4-6,completely,3,4-6,partially,3,4-6,partially,4,6-9,partially,4,6-9,partially,3,6-9,partially,4,6-9,completely,3,1
12648528368,4,0-3,partially,2,0-3,completely,2,0-3,partially,1,0-3,partially,1,0-3,partially,4,0-3,not at all,1,0-3,completely,10,4
12648528204,4,6-9,completely,4,6-9,completely,5,6-9,completely,4,6-9,completely,4,6-9,partially,4,4-6,completely,4,6-9,completely,1,1
12648528042,5,4-6,partially,3,0-3,partially,2,0-3,completely,1,0-3,completely,1,0-3,completely,4,4-6,partially,1,0-3,completely,9,3
12648527653,3,4-6,partially,2,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,3,4-6,partially,1,0-3,completely,12,4
12648527422,1,6-9,not at all,3,6-9,partially,2,4-6,partially,3,10 or more,partially,4,4-6,completely,1,4-6,not at all,4,4-6,partially,7,3
12648527207,3,6-9,partially,2,0-3,partially,1,0-3,completely,1,0-3,completely,1,0-3,completely,2,0-3,partially,1,0-3,completely,13,5
12648526686,5,6-9,partially,1,0-3,completely,2,0-3,partially,1,0-3,completely,1,0-3,partially,3,0-3,partially,1,0-3,completely,12,4
12648526666,5,4-6,completely,3,6-9,completely,4,6-9,completely,4,6-9,completely,4,6-9,completely,4,6-9,completely,5,6-9,completely,3,1
12648526662,5,6-9,partially,4,0-3,not at all,3,4-6,not at all,3,4-6,partially,3,4-6,partially,5,6-9,partially,5,0-3,not at all,4,2
12648526205,3,6-9,partially,1,0-3,completely,2,0-3,completely,1,0-3,completely,1,0-3,completely,3,4-6,partially,1,0-3,completely,12,4
12648525646,4,4-6,partially,3,0-3,partially,2,0-3,completely,1,0-3,completely,1,0-3,completely,2,4-6,partially,2,0-3,partially,12,4
12648525512,5,10 or more,partially,4,6-9,partially,1,4-6,completely,3,4-6,partially,1,0-3,completely,2,6-9,partially,4,6-9,partially,10,4
12648524772,5,6-9,not at all,2,0-3,partially,2,0-3,partially,1,0-3,partially,1,0-3,completely,2,0-3,not at all,1,0-3,completely,12,4
12648524620,3,0-3,partially,3,0-3,completely,2,0-3,completely,1,0-3,completely,2,0-3,completely,3,6-9,not at all,2,10 or more,completely,11,4
12648524591,4,10 or more,completely,5,6-9,partially,4,6-9,partially,4,6-9,partially,5,6-9,partially,5,6-9,not at all,5,6-9,partially,2,1
12648523982,1,0-3,completely,3,4-6,partially,2,0-3,completely,2,0-3,completely,3,4-6,completely,2,0-3,completely,3,4-6,partially,9,3
12648523881,4,6-9,not at all,1,0-3,completely,3,4-6,partially,4,4-6,partially,3,4-6,partially,3,4-6,partially,5,0-3,completely,3,1
12648523867,3,6-9,completely,1,0-3,not at all,3,0-3,not at all,5,10 or more,completely,3,6-9,partially,3,6-9,completely,4,6-9,completely,4,2
12648523374,4,4-6,partially,2,0-3,completely,3,4-6,partially,1,0-3,completely,2,4-6,partially,4,0-3,partially,1,0-3,completely,9,3
12648522698,1,4-6,partially,1,4-6,partially,2,4-6,partially,2,4-6,partially,2,4-6,partially,1,4-6,partially,2,4-6,partially,12,4
12648522227,5,6-9,not at all,1,0-3,not at all,1,0-3,not at all,1,0-3,not at all,1,0-3,not at all,1,0-3,not at all,1,0-3,not at all,13,5
12648517025,4,0-3,partially,2,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,3,0-3,partially,1,0-3,completely,12,4
12648516644,3,4-6,partially,3,6-9,partially,5,4-6,partially,5,6-9,completely,4,4-6,partially,5,6-9,not at all,5,6-9,completely,1,1
12648483707,3,4-6,partially,2,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,3,10 or more,partially,1,0-3,completely,11,4
12648458451,2,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,5,10 or more,not at all,1,0-3,completely,9,3
12648447004,2,4-6,partially,2,0-3,completely,1,0-3,completely,2,0-3,partially,1,0-3,not at all,3,4-6,partially,1,0-3,completely,13,5
12648444920,4,6-9,not at all,5,6-9,partially,3,6-9,completely,5,10 or more,completely,5,10 or more,completely,5,10 or more,completely,5,10 or more,completely,1,1
12648380502,5,0-3,not at all,4,0-3,partially,3,0-3,completely,2,0-3,completely,3,0-3,partially,3,0-3,completely,3,0-3,completely,7,3
12648377739,4,0-3,completely,2,0-3,completely,1,0-3,completely,2,0-3,completely,1,0-3,completely,3,0-3,partially,1,0-3,completely,12,4
12648375614,1,10 or more,completely,2,6-9,completely,3,6-9,completely,2,0-3,partially,3,4-6,partially,2,10 or more,completely,3,4-6,not at all,10,4
12648290590,3,0-3,partially,1,0-3,completely,2,0-3,partially,1,0-3,completely,1,0-3,completely,2,0-3,partially,1,0-3,partially,13,5
12648285068,2,4-6,partially,1,0-3,completely,3,6-9,not at all,1,0-3,completely,2,0-3,partially,2,6-9,not at all,1,0-3,completely,13,5
12648280569,5,0-3,partially,3,0-3,partially,2,0-3,partially,2,0-3,completely,1,0-3,completely,2,0-3,partially,1,0-3,completely,12,4
12648273716,3,6-9,partially,3,4-6,partially,3,0-3,partially,3,4-6,partially,3,4-6,partially,3,4-6,partially,4,6-9,partially,9,3
12648250529,1,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,13,5
12648201513,3,0-3,partially,1,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,partially,1,0-3,completely,13,5
12648166576,1,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,13,5
12648162034,3,0-3,completely,2,0-3,completely,2,0-3,completely,1,0-3,completely,1,0-3,completely,4,0-3,partially,1,0-3,completely,11,4
12648161747,5,0-3,completely,3,0-3,completely,4,0-3,completely,2,0-3,completely,2,0-3,completely,5,0-3,completely,1,0-3,completely,6,2
12648159285,4,4-6,partially,1,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,3,0-3,partially,1,0-3,completely,13,5
12648113633,4,0-3,partially,1,0-3,completely,2,0-3,completely,2,0-3,completely,2,0-3,completely,3,0-3,partially,1,0-3,completely,12,4
12648080172,4,0-3,completely,3,0-3,partially,2,0-3,partially,3,4-6,partially,2,0-3,partially,3,0-3,partially,3,0-3,completely,7,3
12648076921,3,0-3,completely,3,0-3,partially,2,0-3,completely,4,0-3,not at all,2,0-3,completely,2,4-6,not at all,1,0-3,completely,10,4
12648057300,3,4-6,partially,2,0-3,completely,3,6-9,not at all,1,0-3,completely,3,4-6,completely,2,6-9,partially,2,6-9,not at all,7,3
12648020658,4,4-6,partially,3,0-3,completely,3,4-6,partially,3,0-3,completely,3,4-6,partially,2,6-9,not at all,1,0-3,completely,10,4
12648005512,3,6-9,partially,3,0-3,partially,3,0-3,partially,2,0-3,partially,3,0-3,partially,4,0-3,partially,1,0-3,partially,9,3
12647992581,1,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,13,5
12647967837,4,0-3,partially,2,0-3,completely,1,0-3,completely,2,0-3,completely,1,0-3,completely,4,4-6,partially,1,0-3,completely,10,4
12647914776,4,4-6,partially,2,0-3,completely,2,0-3,completely,2,0-3,completely,1,0-3,completely,3,4-6,partially,2,0-3,completely,11,4
12647914758,4,0-3,partially,1,0-3,completely,2,4-6,partially,1,0-3,completely,1,0-3,completely,3,0-3,partially,1,0-3,completely,12,4
12647879016,2,4-6,partially,2,4-6,not at all,2,4-6,completely,2,0-3,completely,2,0-3,completely,2,0-3,completely,2,0-3,completely,12,4
12647840819,5,0-3,not at all,1,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,3,0-3,partially,1,0-3,completely,12,4
12647763314,1,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,13,5
12647753494,2,0-3,completely,2,0-3,partially,3,0-3,partially,1,0-3,completely,1,0-3,completely,2,0-3,partially,1,0-3,completely,12,4
12647748417,2,4-6,completely,4,10 or more,completely,1,4-6,partially,3,6-9,partially,3,6-9,completely,3,10 or more,completely,3,0-3,not at all,5,2
12647741815,1,0-3,partially,1,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,13,5
12647740581,3,0-3,partially,2,0-3,completely,1,0-3,completely,2,0-3,partially,1,0-3,completely,2,0-3,partially,1,0-3,completely,13,5
12647111602,4,6-9,not at all,2,6-9,not at all,1,4-6,completely,4,0-3,completely,1,6-9,not at all,3,6-9,partially,2,10 or more,not at all,11,4
12647008984,3,4-6,completely,2,4-6,partially,3,4-6,partially,3,6-9,not at all,4,6-9,partially,2,4-6,partially,3,4-6,partially,8,3
12646999914,4,4-6,partially,5,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,3,0-3,partially,1,0-3,completely,9,3
12646997576,4,4-6,partially,1,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,5,6-9,not at all,1,0-3,completely,9,3
12646993946,3,0-3,partially,2,0-3,completely,2,0-3,completely,1,0-3,completely,1,0-3,completely,2,0-3,completely,2,0-3,completely,13,5
12646957215,4,0-3,partially,3,0-3,completely,3,0-3,completely,2,0-3,completely,3,0-3,completely,4,4-6,partially,1,0-3,completely,10,4
12646937192,5,10 or more,not at all,2,0-3,completely,1,0-3,completely,3,4-6,partially,3,4-6,partially,5,10 or more,not at all,1,0-3,completely,8,3
12646922849,2,0-3,completely,2,0-3,completely,2,0-3,completely,2,0-3,completely,2,0-3,completely,2,0-3,partially,2,0-3,completely,13,5
12646848736,3,4-6,partially,5,0-3,completely,4,0-3,partially,5,0-3,completely,5,0-3,completely,3,4-6,completely,5,4-6,not at all,1,1
12646847182,3,0-3,partially,2,0-3,completely,1,0-3,completely,3,0-3,partially,1,0-3,completely,3,0-3,partially,1,0-3,completely,12,4
12646842503,3,10 or more,completely,1,0-3,completely,1,0-3,completely,2,0-3,completely,1,0-3,completely,2,6-9,partially,1,0-3,completely,13,5
12646840112,4,0-3,partially,2,0-3,completely,1,0-3,completely,1,0-3,partially,1,0-3,completely,3,0-3,partially,1,0-3,completely,12,4
12646837816,2,0-3,completely,1,0-3,completely,1,0-3,completely,2,0-3,completely,1,0-3,completely,2,0-3,completely,1,0-3,completely,13,5
12646818479,4,6-9,partially,1,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,1,4-6,partially,2,4-6,partially,13,5
12646817211,3,4-6,completely,3,4-6,partially,4,4-6,completely,2,6-9,completely,3,6-9,completely,4,6-9,partially,4,6-9,completely,7,3
12646793475,2,0-3,completely,2,0-3,completely,2,0-3,completely,2,0-3,completely,2,0-3,completely,3,4-6,partially,1,0-3,completely,12,4
12646791248,3,4-6,completely,3,6-9,partially,3,4-6,partially,2,6-9,partially,3,4-6,partially,3,6-9,partially,2,0-3,completely,7,3
12646734750,5,10 or more,not at all,1,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,13,5
12646730383,3,0-3,partially,3,0-3,partially,3,0-3,partially,3,0-3,partially,3,0-3,partially,3,0-3,partially,3,0-3,partially,7,3
12646726614,5,10 or more,partially,1,0-3,completely,1,0-3,completely,5,10 or more,partially,1,0-3,completely,5,10 or more,not at all,2,0-3,partially,7,3
12646713989,2,0-3,partially,1,0-3,completely,1,0-3,completely,3,0-3,completely,1,0-3,completely,5,4-6,not at all,1,0-3,completely,9,3
12646713939,5,10 or more,partially,1,0-3,completely,1,0-3,completely,5,10 or more,partially,1,0-3,completely,5,10 or more,not at all,2,0-3,partially,7,3
12646713467,2,0-3,partially,1,0-3,completely,1,0-3,completely,3,0-3,completely,1,0-3,completely,5,4-6,not at all,1,0-3,completely,9,3
12646713245,5,10 or more,partially,1,0-3,completely,1,0-3,completely,5,10 or more,partially,1,0-3,completely,5,10 or more,not at all,2,0-3,partially,0,1
12646710414,4,0-3,completely,2,0-3,completely,2,0-3,completely,3,0-3,completely,1,0-3,completely,4,4-6,partially,1,0-3,completely,10,4
12646707902,1,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,13,5
12646645801,2,0-3,completely,4,0-3,partially,4,0-3,completely,5,0-3,partially,4,0-3,partially,4,0-3,completely,3,0-3,completely,2,1
12646640689,3,0-3,completely,3,0-3,completely,2,0-3,completely,3,0-3,completely,3,0-3,completely,3,0-3,completely,3,0-3,completely,7,3
12646640479,3,0-3,partially,1,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,5,0-3,not at all,1,0-3,completely,9,3
12646629693,2,0-3,partially,1,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,2,0-3,partially,1,0-3,completely,13,5
12646602975,4,10 or more,completely,4,6-9,completely,4,10 or more,partially,4,6-9,completely,5,6-9,completely,4,6-9,completely,4,6-9,partially,1,1
12646595213,2,4-6,not at all,3,0-3,partially,2,4-6,partially,2,4-6,partially,2,4-6,partially,2,0-3,partially,3,0-3,completely,10,4
12646558586,3,0-3,completely,2,0-3,completely,3,4-6,partially,4,6-9,not at all,3,0-3,partially,3,4-6,partially,1,0-3,completely,7,3
12646554201,5,10 or more,partially,1,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,3,4-6,partially,5,0-3,completely,11,4
12646549579,5,0-3,completely,5,0-3,completely,5,0-3,completely,5,0-3,completely,5,0-3,completely,5,0-3,completely,5,0-3,completely,1,1
12646547299,1,0-3,completely,1,0-3,completely,1,0-3,completely,5,0-3,partially,1,0-3,completely,5,4-6,not at all,1,0-3,completely,8,3
12646490821,3,0-3,partially,3,0-3,completely,3,0-3,completely,3,0-3,completely,3,0-3,completely,3,0-3,partially,3,0-3,completely,7,3
12646480782,3,0-3,completely,4,0-3,completely,2,0-3,completely,3,0-3,partially,1,0-3,completely,5,10 or more,not at all,1,0-3,completely,8,3
12646457262,4,0-3,partially,1,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,3,0-3,partially,1,0-3,completely,12,4
12646448646,1,6-9,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,not at all,1,0-3,completely,13,5
12646446470,4,0-3,completely,1,0-3,completely,1,0-3,completely,2,0-3,completely,2,0-3,completely,4,4-6,partially,1,0-3,completely,10,4
12646443492,3,0-3,partially,1,0-3,completely,1,0-3,completely,1,0-3,completely,1,0-3,completely,2,0-3,partially,1,0-3,completely,13,5
12646430699,3,0-3,completely,4,0-3,completely,4,0-3,partially,3,0-3,completely,3,0-3,completely,4,0-3,partially,3,0-3,partially,6,2
12646423353,3,6-9,partially,3,6-9,partially,2,4-6,partially,3,6-9,partially,3,4-6,partially,2,4-6,completely,3,4-6,partially,7,3
12646421688,4,4-6,partially,2,0-3,completely,3,0-3,partially,2,0-3,partially,1,0-3,completely,3,4-6,partially,1,0-3,completely,11,4
12646421499,3,0-3,not at all,1,0-3,completely,1,0-3,completely,2,0-3,partially,1,0-3,completely,2,0-3,partially,1,0-3,completely,13,5
12646420204,4,10 or more,partially,3,4-6,partially,1,0-3,completely,4,0-3,partially,1,0-3,completely,2,0-3,partially,1,0-3,completely,8,3
12646418884,5,6-9,completely,5,0-3,partially,5,6-9,completely,5,6-9,completely,5,4-6,completely,5,0-3,partially,5,0-3,not at all,1,1
12646418631,3,10 or more,completely,2,10 or more,completely,1,10 or more,completely,1,10 or more,completely,1,10 or more,completely,4,6-9,partially,5,10 or more,completely,10,4
